username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
b'Grumpy Kate',754766988229115904,2017-05-11 01:39:19,"b'RT @ddale8: Sooo @maggieNYT reports that the director of the FBI told people the president might be ""crazy."" https://t.co/MPNjS6eeIG'",190,None,496,1482,-0.6,0.9
b'Sandy',65793480,2017-05-11 01:39:19,"b""RT @Dailypoliticsus: Rush Limbaugh: Trump is trolling 'hate-filled' Democrats into 'literal insanity' https://t.co/5A75XPD0ZA https://t.co/...""",2,None,2308,2864,0.0,0.0
b'KageNexus 612',865586544,2017-05-11 01:39:19,"b""RT @RBReich: By my count, there are now four grounds to impeach Trump. The real question now is whether there's the political will. https:/...""",3980,None,76,233,0.1,0.2
b'Miriam Heddy',1668143209,2017-05-11 01:39:19,"b'RT @BraddJaffy: WSJ sources: ""Mr. Comey was concerned by information showing potential evidence of collusion"" in Trump-Russia probe https:/...'",612,None,370,249,0.0,1.0
b'PJC',930964766,2017-05-11 01:39:19,"b'@SenWarren @HillaryClinton\n@SenFeinstein @KamalaHarris @CNN @MaxineWaters\n\nCOMEY: TRUMP ""CRAZY""!\nMAYDAY!\n@CIA @FBI... https://t.co/YHqAXJXD6b'",0,None,56,89,-0.9375,0.9
b'Elizabeth',770896455187902464,2017-05-11 01:39:18,b'RT @KeithOlbermann: NEW: Firing the man who is investigating you IS by and of itself a NEW cover-up. Trump is impeachable TONIGHT. https://...',379,None,23,511,0.13636363636363635,0.45454545454545453
b'Kevin Gibson',3349117577,2017-05-11 01:39:18,"b'RT @DavidAFrench: On the merits, defensible. In context, terrible. Trump accidentally made the case for an independent investigation https:...'",149,None,106,211,-0.5,0.5625
b'Slate',15164565,2017-05-11 01:39:18,"b""Trump's firing of James Comey is a warning: Don't cross me, or you'll be next https://t.co/BKdR1SuOi5 https://t.co/8grKjH72E4""",3,None,1733138,593,0.0,0.0
b'Taylor Fronk',716912315,2017-05-11 01:39:18,b'RT @MaggieJordanACN: Employees fired by Trump:\nSally Yates\nPreet Bharara\nJames Comey\n\nEmployees investigating Trump:\nSally Yates\nPreet Bhar...',111574,None,37,48,0.0,0.0
b'Dark to Light',793970466532851713,2017-05-11 01:39:18,"b""RT @TrumpTran: The media must stop predicting what Trump can't do:: They been proven wrong 100% of the time.\n#MAGA""",442,MAGA,2218,2167,-0.5,0.9
b'AvaVic',823633355589713920,2017-05-11 01:39:18,b'RT @BarricadesBloom: @JamesMu63151819 @drc573 @pattirmuller @YerOpinion @AMHotFlash @Jaime4US @Gallaecian @Catloveralso @LibbyHitchcock @EJ...',8,None,500,654,0.0,0.0
b'Taryn Kelly',1264883444,2017-05-11 01:39:18,"b'RT @TIME: Trevor Noah on Trump\'s decision to fire James Comey: ""This is insane"" https://t.co/gplWoMB1a1'",64,None,648,638,-1.0,1.0
